canonical_ticker,sector,official_name,member_tickers,aliases
J,Industrials,Jacobs Solutions,J,Jacobs Solutions
JBHT,Industrials,J.B. Hunt,JBHT,J.B. Hunt
JBL,Information Technology,Jabil,JBL,Jabil
JCI,Industrials,Johnson Controls,JCI,Johnson Controls
JKHY,Financials,Jack Henry & Associates,JKHY,Jack Henry & Associates
JNJ,Health Care,Johnson & Johnson,JNJ,Johnson & Johnson
JPM,Financials,JPMorgan Chase,JPM,JPMorgan Chase
KDP,Consumer Staples,Keurig Dr Pepper,KDP,Keurig Dr Pepper
KEY,Financials,KeyCorp,KEY,KeyCorp
KEYS,Information Technology,Keysight Technologies,KEYS,Keysight Technologies
KHC,Consumer Staples,Kraft Heinz,KHC,Kraft Heinz
KIM,Real Estate,Kimco Realty,KIM,Kimco Realty
KKR,Financials,KKR & Co.,KKR,KKR & Co.
KLAC,Information Technology,KLA Corporation,KLAC,KLA|KLA Corporation
KMB,Consumer Staples,Kimberly-Clark,KMB,Kimberly-Clark
KMI,Energy,Kinder Morgan,KMI,Kinder Morgan
KO,Consumer Staples,Coca-Cola Company,KO,Coca-Cola Company|Coca-Cola Company (The)
KR,Consumer Staples,Kroger,KR,Kroger
KVUE,Consumer Staples,Kenvue,KVUE,Kenvue
L,Financials,Loews Corporation,L,Loews|Loews Corporation
LDOS,Industrials,Leidos,LDOS,Leidos
LEN,Consumer Discretionary,Lennar,LEN,Lennar
LH,Health Care,Labcorp,LH,Labcorp
LHX,Industrials,L3Harris,LHX,L3Harris
LII,Industrials,Lennox International,LII,Lennox International
LIN,Materials,Linde plc,LIN,Linde plc
LITE,Information Technology,Lumentum,LITE,Lumentum
LLY,Health Care,Lilly,LLY,Eli Lilly|Eli Lilly and Company|Lilly|Lilly (Eli)
LMT,Industrials,Lockheed Martin,LMT,Lockheed Martin
LNT,Utilities,Alliant Energy,LNT,Alliant Energy
LOW,Consumer Discretionary,Lowe's,LOW,Lowe's
LRCX,Information Technology,Lam Research,LRCX,Lam Research
LULU,Consumer Discretionary,Lululemon Athletica,LULU,Lululemon Athletica
LUV,Industrials,Southwest Airlines,LUV,Southwest Airlines
LVS,Consumer Discretionary,Las Vegas Sands,LVS,Las Vegas Sands
LYB,Materials,LyondellBasell,LYB,LyondellBasell
LYV,Communication Services,Live Nation Entertainment,LYV,Live Nation Entertainment
MA,Financials,Mastercard,MA,Mastercard
MAA,Real Estate,Mid-America Apartment Communities,MAA,Mid-America Apartment Communities
MAR,Consumer Discretionary,Marriott International,MAR,Marriott International
MAS,Industrials,Masco,MAS,Masco
MCD,Consumer Discretionary,McDonald's,MCD,McDonald's
MCHP,Information Technology,Microchip Technology,MCHP,Microchip Technology
MCK,Health Care,McKesson Corporation,MCK,McKesson|McKesson Corporation
MCO,Financials,Moody's Corporation,MCO,Moody's|Moody's Corporation
MDLZ,Consumer Staples,Mondelez International,MDLZ,Mondelez International
MDT,Health Care,Medtronic,MDT,Medtronic
MET,Financials,MetLife,MET,MetLife
META,Communication Services,Meta Platforms,META,Facebook|Facebook Inc|Meta|Meta Platforms|Meta Platforms Inc
MGM,Consumer Discretionary,MGM Resorts,MGM,MGM Resorts
MKC,Consumer Staples,McCormick & Company,MKC,McCormick & Company
MLM,Materials,Martin Marietta Materials,MLM,Martin Marietta Materials
MMM,Industrials,3M,MMM,3M
MNST,Consumer Staples,Monster Beverage,MNST,Monster Beverage
MO,Consumer Staples,Altria,MO,Altria
MOS,Materials,Mosaic Company,MOS,Mosaic Company|Mosaic Company (The)
MPC,Energy,Marathon Petroleum,MPC,Marathon Petroleum
MPWR,Information Technology,Monolithic Power Systems,MPWR,Monolithic Power Systems
MRK,Health Care,Merck & Co.,MRK,Merck|Merck & Co|Merck & Co Inc|Merck & Co.|Merck and Co
MRNA,Health Care,Moderna,MRNA,Moderna
MRSH,Financials,Marsh McLennan,MRSH,Marsh McLennan
MS,Financials,Morgan Stanley,MS,Morgan Stanley
MSCI,Financials,MSCI Inc.,MSCI,MSCI|MSCI Inc.
MSFT,Information Technology,Microsoft,MSFT,Microsoft
MSI,Information Technology,Motorola Solutions,MSI,Motorola Solutions
MTB,Financials,M&T Bank,MTB,M&T Bank
MTD,Health Care,Mettler Toledo,MTD,Mettler Toledo
MU,Information Technology,Micron Technology,MU,Micron Technology
NCLH,Consumer Discretionary,Norwegian Cruise Line Holdings,NCLH,Norwegian Cruise Line Holdings
NDAQ,Financials,"Nasdaq, Inc.",NDAQ,"Nasdaq|Nasdaq Inc.|Nasdaq, Inc."
NDSN,Industrials,Nordson Corporation,NDSN,Nordson|Nordson Corporation
NEE,Utilities,NextEra Energy,NEE,NextEra Energy
NEM,Materials,Newmont,NEM,Newmont
NFLX,Communication Services,Netflix,NFLX,Netflix
NI,Utilities,NiSource,NI,NiSource
NKE,Consumer Discretionary,"Nike, Inc.",NKE,"Nike|Nike Inc.|Nike, Inc."
NOC,Industrials,Northrop Grumman,NOC,Northrop Grumman
NOW,Information Technology,ServiceNow,NOW,ServiceNow
NRG,Utilities,NRG Energy,NRG,NRG Energy
NSC,Industrials,Norfolk Southern,NSC,Norfolk Southern
NTAP,Information Technology,NetApp,NTAP,NetApp
NTRS,Financials,Northern Trust,NTRS,Northern Trust
NUE,Materials,Nucor,NUE,Nucor
NVDA,Information Technology,Nvidia,NVDA,Nvidia
NVR,Consumer Discretionary,"NVR, Inc.",NVR,"NVR|NVR Inc.|NVR, Inc."
NWSA,Communication Services,News Corp,NWSA|NWS,News Corp|News Corp (Class A)|News Corp (Class B)
NXPI,Information Technology,NXP Semiconductors,NXPI,NXP Semiconductors
O,Real Estate,Realty Income,O,Realty Income
ODFL,Industrials,Old Dominion,ODFL,Old Dominion
OKE,Energy,Oneok,OKE,Oneok
OMC,Communication Services,Omnicom Group,OMC,Omnicom Group
ON,Information Technology,ON Semiconductor,ON,ON Semiconductor
ORCL,Information Technology,Oracle Corporation,ORCL,Oracle|Oracle Corporation
ORLY,Consumer Discretionary,O’Reilly Automotive,ORLY,O’Reilly Automotive
OTIS,Industrials,Otis Worldwide,OTIS,Otis Worldwide
OXY,Energy,Occidental Petroleum,OXY,Occidental Petroleum
PANW,Information Technology,Palo Alto Networks,PANW,Palo Alto Networks
PAYX,Industrials,Paychex,PAYX,Paychex
PCAR,Industrials,Paccar,PCAR,Paccar
PCG,Utilities,PG&E Corporation,PCG,PG&E|PG&E Corporation
PEG,Utilities,Public Service Enterprise Group,PEG,Public Service Enterprise Group
PEP,Consumer Staples,PepsiCo,PEP,PepsiCo|PepsiCo Inc
PFE,Health Care,Pfizer,PFE,Pfizer
PFG,Financials,Principal Financial Group,PFG,Principal Financial Group
PG,Consumer Staples,Procter & Gamble,PG,Procter & Gamble
PGR,Financials,Progressive Corporation,PGR,Progressive|Progressive Corporation
PH,Industrials,Parker Hannifin,PH,Parker Hannifin
PHM,Consumer Discretionary,PulteGroup,PHM,PulteGroup
PKG,Materials,Packaging Corporation of America,PKG,Packaging Corporation of America
PLD,Real Estate,Prologis,PLD,Prologis
PLTR,Information Technology,Palantir Technologies,PLTR,Palantir Technologies
PM,Consumer Staples,Philip Morris International,PM,Philip Morris International
PNC,Financials,PNC Financial Services,PNC,PNC Financial Services
PNR,Industrials,Pentair,PNR,Pentair
PNW,Utilities,Pinnacle West Capital,PNW,Pinnacle West Capital
PODD,Health Care,Insulet Corporation,PODD,Insulet|Insulet Corporation
POOL,Consumer Discretionary,Pool Corporation,POOL,Pool|Pool Corporation
PPG,Materials,PPG Industries,PPG,PPG Industries
PPL,Utilities,PPL Corporation,PPL,PPL|PPL Corporation
PRU,Financials,Prudential Financial,PRU,Prudential Financial
PSA,Real Estate,Public Storage,PSA,Public Storage
PSKY,Communication Services,Paramount Skydance Corporation,PSKY,Paramount Skydance|Paramount Skydance Corporation
PSX,Energy,Phillips 66,PSX,Phillips 66
PTC,Information Technology,PTC Inc.,PTC,PTC|PTC Inc.
PWR,Industrials,Quanta Services,PWR,Quanta Services
PYPL,Financials,PayPal,PYPL,PayPal
Q,Information Technology,Qnity Electronics,Q,Qnity Electronics
QCOM,Information Technology,Qualcomm,QCOM,Qualcomm
RCL,Consumer Discretionary,Royal Caribbean Group,RCL,Royal Caribbean Group
REG,Real Estate,Regency Centers,REG,Regency Centers
REGN,Health Care,Regeneron Pharmaceuticals,REGN,Regeneron Pharmaceuticals
RF,Financials,Regions Financial Corporation,RF,Regions Financial|Regions Financial Corporation
RJF,Financials,Raymond James Financial,RJF,Raymond James Financial
RL,Consumer Discretionary,Ralph Lauren Corporation,RL,Ralph Lauren|Ralph Lauren Corporation
RMD,Health Care,ResMed,RMD,ResMed
ROK,Industrials,Rockwell Automation,ROK,Rockwell Automation
ROL,Industrials,"Rollins, Inc.",ROL,"Rollins|Rollins Inc.|Rollins, Inc."
ROP,Information Technology,Roper Technologies,ROP,Roper Technologies
ROST,Consumer Discretionary,Ross Stores,ROST,Ross Stores
RSG,Industrials,Republic Services,RSG,Republic Services
RTX,Industrials,RTX Corporation,RTX,RTX|RTX Corporation
RVTY,Health Care,Revvity,RVTY,Revvity
SATS,Communication Services,EchoStar,SATS,EchoStar
SBAC,Real Estate,SBA Communications,SBAC,SBA Communications
SBUX,Consumer Discretionary,Starbucks,SBUX,Starbucks
SCHW,Financials,Charles Schwab Corporation,SCHW,Charles Schwab|Charles Schwab Corporation
SHW,Materials,Sherwin-Williams,SHW,Sherwin-Williams
SJM,Consumer Staples,J.M. Smucker Company,SJM,J.M. Smucker Company|J.M. Smucker Company (The)
SLB,Energy,Schlumberger,SLB,SLB|Schlumberger|Schlumberger NV
SMCI,Information Technology,Supermicro,SMCI,Supermicro
SNA,Industrials,Snap-on,SNA,Snap-on
SNDK,Information Technology,Sandisk,SNDK,Sandisk
SNPS,Information Technology,Synopsys,SNPS,Synopsys
SO,Utilities,Southern Company,SO,Southern Company
SOLV,Health Care,Solventum,SOLV,Solventum
SPG,Real Estate,Simon Property Group,SPG,Simon Property Group
SPGI,Financials,S&P Global,SPGI,S&P Global
SRE,Utilities,Sempra,SRE,Sempra
STE,Health Care,Steris,STE,Steris
STLD,Materials,Steel Dynamics,STLD,Steel Dynamics
STT,Financials,State Street Corporation,STT,State Street|State Street Corporation
STX,Information Technology,Seagate Technology,STX,Seagate Technology
STZ,Consumer Staples,Constellation Brands,STZ,Constellation Brands
SW,Materials,Smurfit Westrock,SW,Smurfit Westrock
SWK,Industrials,Stanley Black & Decker,SWK,Stanley Black & Decker
SWKS,Information Technology,Skyworks Solutions,SWKS,Skyworks Solutions
SYF,Financials,Synchrony Financial,SYF,Synchrony Financial
SYK,Health Care,Stryker Corporation,SYK,Stryker|Stryker Corporation
SYY,Consumer Staples,Sysco,SYY,Sysco
T,Communication Services,AT&T,T,AT&T
TAP,Consumer Staples,Molson Coors Beverage Company,TAP,Molson Coors Beverage Company
TDG,Industrials,TransDigm Group,TDG,TransDigm Group
TDY,Information Technology,Teledyne Technologies,TDY,Teledyne Technologies
TECH,Health Care,Bio-Techne,TECH,Bio-Techne
TEL,Information Technology,TE Connectivity,TEL,TE Connectivity
TER,Information Technology,Teradyne,TER,Teradyne
TFC,Financials,Truist Financial,TFC,Truist Financial
TGT,Consumer Staples,Target Corporation,TGT,Target|Target Corporation
TJX,Consumer Discretionary,TJX Companies,TJX,TJX Companies
TKO,Communication Services,TKO Group Holdings,TKO,TKO Group Holdings
TMO,Health Care,Thermo Fisher Scientific,TMO,Thermo Fisher Scientific
TMUS,Communication Services,T-Mobile US,TMUS,T-Mobile US
TPL,Energy,Texas Pacific Land Corporation,TPL,Texas Pacific Land|Texas Pacific Land Corporation
TPR,Consumer Discretionary,"Tapestry, Inc.",TPR,"Tapestry|Tapestry Inc.|Tapestry, Inc."
TRGP,Energy,Targa Resources,TRGP,Targa Resources
TRMB,Information Technology,Trimble Inc.,TRMB,Trimble|Trimble Inc.
TROW,Financials,T. Rowe Price,TROW,T. Rowe Price
TRV,Financials,Travelers Companies,TRV,Travelers Companies|Travelers Companies (The)
TSCO,Consumer Discretionary,Tractor Supply,TSCO,Tractor Supply
TSLA,Consumer Discretionary,"Tesla, Inc.",TSLA,"Tesla|Tesla Inc.|Tesla, Inc."
TSN,Consumer Staples,Tyson Foods,TSN,Tyson Foods
TT,Industrials,Trane Technologies,TT,Trane Technologies
TTD,Communication Services,Trade Desk,TTD,Trade Desk|Trade Desk (The)
TTWO,Communication Services,Take-Two Interactive,TTWO,Take-Two Interactive
TXN,Information Technology,Texas Instruments,TXN,Texas Instruments
TXT,Industrials,Textron,TXT,Textron
TYL,Information Technology,Tyler Technologies,TYL,Tyler Technologies
UAL,Industrials,United Airlines Holdings,UAL,United Airlines Holdings
UBER,Industrials,Uber,UBER,Uber
UDR,Real Estate,"UDR, Inc.",UDR,"UDR|UDR Inc.|UDR, Inc."
UHS,Health Care,Universal Health Services,UHS,Universal Health Services
ULTA,Consumer Discretionary,Ulta Beauty,ULTA,Ulta Beauty
UNH,Health Care,UnitedHealth Group,UNH,UnitedHealth Group
UNP,Industrials,Union Pacific Corporation,UNP,Union Pacific|Union Pacific Corporation
UPS,Industrials,United Parcel Service,UPS,United Parcel Service
URI,Industrials,United Rentals,URI,United Rentals
USB,Financials,U.S. Bancorp,USB,U.S. Bancorp
V,Financials,Visa Inc.,V,Visa|Visa Inc.
VICI,Real Estate,Vici Properties,VICI,Vici Properties
VLO,Energy,Valero Energy,VLO,Valero Energy
VLTO,Industrials,Veralto,VLTO,Veralto
VMC,Materials,Vulcan Materials Company,VMC,Vulcan Materials Company
VRSK,Industrials,Verisk Analytics,VRSK,Verisk Analytics
VRSN,Information Technology,Verisign,VRSN,Verisign
VRT,Industrials,Vertiv,VRT,Vertiv
VRTX,Health Care,Vertex Pharmaceuticals,VRTX,Vertex Pharmaceuticals
VST,Utilities,Vistra Corp.,VST,Vistra Corp.
VTR,Real Estate,Ventas,VTR,Ventas
VTRS,Health Care,Viatris,VTRS,Viatris
VZ,Communication Services,Verizon,VZ,Verizon
WAB,Industrials,Wabtec,WAB,Wabtec
WAT,Health Care,Waters Corporation,WAT,Waters|Waters Corporation
WBD,Communication Services,Warner Bros. Discovery,WBD,Warner Bros. Discovery
WDAY,Information Technology,"Workday, Inc.",WDAY,"Workday|Workday Inc.|Workday, Inc."
WDC,Information Technology,Western Digital,WDC,Western Digital
WEC,Utilities,WEC Energy Group,WEC,WEC Energy Group
WELL,Real Estate,Welltower,WELL,Welltower
WFC,Financials,Wells Fargo,WFC,Wells Fargo
WM,Industrials,Waste Management,WM,Waste Management
WMB,Energy,Williams Companies,WMB,Williams Companies
WMT,Consumer Staples,Walmart,WMT,Walmart
WRB,Financials,W. R. Berkley Corporation,WRB,W. R. Berkley|W. R. Berkley Corporation
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",WSM,"Williams-Sonoma|Williams-Sonoma Inc.|Williams-Sonoma, Inc."
WST,Health Care,West Pharmaceutical Services,WST,West Pharmaceutical Services
WTW,Financials,Willis Towers Watson,WTW,Willis Towers Watson
WY,Real Estate,Weyerhaeuser,WY,Weyerhaeuser
WYNN,Consumer Discretionary,Wynn Resorts,WYNN,Wynn Resorts
XEL,Utilities,Xcel Energy,XEL,Xcel Energy
XOM,Energy,ExxonMobil,XOM,ExxonMobil
XYL,Industrials,Xylem Inc.,XYL,Xylem|Xylem Inc.
XYZ,Financials,"Block, Inc.",XYZ,"Block|Block Inc|Block Inc.|Block, Inc.|Square|Square Inc"
YUM,Consumer Discretionary,Yum! Brands,YUM,Yum! Brands
ZBH,Health Care,Zimmer Biomet,ZBH,Zimmer Biomet
ZBRA,Information Technology,Zebra Technologies,ZBRA,Zebra Technologies
ZTS,Health Care,Zoetis,ZTS,Zoetis
